CaseNo,CaseYr,Address,DateOpened,CaseType,Status,StatusDate,Closed
15040230-232,2014,230-232 PIN OAK DR,01-02-2014,Housing,Closed Out,05-30-2014,true
11700353-3,2014,353 LINCOLN AVE,01-02-2014,Housing,Closed Out,03-31-2014,true
17090545-5,2014,545 SHERIDAN DR,01-03-2014,Housing,Closed Out,02-19-2014,true
00931842#10-3,2014,1842 AUGUSTA DR #10,01-06-2014,Housing,Closed Out,01-17-2014,true
05580171,2014,171 DEVONIA AVE,01-06-2014,Housing,Closed Out,03-07-2014,true
17100270-5,2014,270 SHERMAN AVE,01-06-2014,Housing,Closed Out,03-31-2014,true
11960114EMER#8,2014,114 LONDONDERRY DR #8,01-06-2014,Housing,Closed Out,01-17-2014,true
20703615-3,2014,3615 WINDGATE WAY,01-07-2014,Housing,Closed Out,04-23-2014,true
20703616-2,2014,3616 WINDGATE WAY,01-07-2014,Housing,Closed Out,04-23-2014,true
16193564-4,2014,3564 ROCKY HILL TER,01-07-2014,Housing,Closed Out,06-04-2014,true
12430806-2,2014,806 MAPLE AVE,01-07-2014,Housing,Closed Out,01-17-2014,true
03291047-2,2014,1047 CARNEAL RD,01-07-2014,Housing,Closed Out,03-12-2014,true
04680350-3,2014,350 CORRAL ST,01-07-2014,Housing,Closed Out,03-12-2014,true
03910539-4,2014,539 CHESTNUT ST,01-07-2014,Housing,Closed Out,07-08-2014,true
19440761CONDEM,2014,761 N UPPER ST,01-08-2014,Housing,Closed Out,06-10-2014,true
05663801-2,2014,3801 DICKSONIA DR,01-08-2014,Housing,Closed Out,03-04-2014,true
11670395,2014,395 S LIMESTONE,01-08-2014,Housing,Closed Out,03-28-2014,true
19440719#2-2,2014,719 N UPPER ST #2 AKA 717-719 N UPPER ST,01-08-2014,Housing,Closed Out,06-17-2014,true
04691662-2,2014,1662 COSTIGAN DR,01-08-2014,Housing,Closed Out,02-25-2014,true
08880530CONDEM,2014,530 HARRY ST,01-08-2014,Housing,Closed Out,07-15-2014,true
10181417S,2014,1417 JOCASTA DR,01-09-2014,Housing,Closed Out,06-26-2014,true
15040224-226,2014,224-226 PIN OAK DR,01-09-2014,Housing,Closed Out,04-23-2014,true
16370265,2014,265 ROSEMONT GARDEN,01-09-2014,Housing,Closed Out,07-23-2014,true
14100201-203,2014,201-203 NORWAY ST,01-09-2014,Housing,Closed Out,08-14-2014,true
12430806-3,2014,806 MAPLE AVE,01-09-2014,Housing,Closed Out,03-12-2014,true
12384533-6,2014,4533 MANDEVILLE WAY,01-10-2014,Housing,Closed Out,04-08-2014,true
20910116,2014,116 WITHERS AVE,01-10-2014,Housing,Closed Out,03-12-2014,true
17350415-3,2014,415 SMITH ST,01-10-2014,Housing,Closed Out,03-12-2014,true
05212033#1,2014,2033 DANIEL CT #1,01-10-2014,Housing,Closed Out,05-06-2014,true
14760365S3,2014,365 PEACHTREE RD,01-14-2014,Housing,Closed Out,07-14-2014,true
07800152-160#4,2014,152-160 GAZETTE AVE #4 (AKA 160 GAZETTE),01-14-2014,Housing,Closed Out,03-04-2014,true
16900210-7,2014,210 E SEVENTH ST,01-14-2014,Housing,Closed Out,07-24-2014,true
13840801EXT,2014,801 E NEW CIRCLE RD (ROOF),01-14-2014,Housing,Closed Out,03-04-2014,true
04522788,2014,2788 COLUMBUS LN,01-14-2014,Housing,Closed Out,07-15-2014,true
07020410-2,2014,410 E FIFTH ST,01-14-2014,Housing,Closed Out,05-27-2014,true
08880532CONDEM,2014,532 HARRY ST,01-14-2014,Housing,Closed Out,07-15-2014,true
17170133S,2014,133 W SHORT ST,01-15-2014,Housing,Closed Out,03-25-2014,true
16011501S,2014,1501 RICHMOND RD,01-15-2014,Housing,Closed Out,03-25-2014,true
12960011S2,2014,11 MENTELLE PARK,01-15-2014,Housing,Closed Out,05-16-2014,true
16900546DEMO,2014,546 E SEVENTH ST,01-15-2014,Housing,Closed Out,08-18-2014,true
29620704,2014,704 ORLEAN CIR,01-15-2014,Housing,Closed Out,04-23-2014,true
29620756,2014,756 ORLEAN CIR,01-15-2014,Housing,Closed Out,04-23-2014,true
29620760,2014,760 ORLEAN CIR,01-15-2014,Housing,Closed Out,04-23-2014,true
29620764,2014,764 ORLEAN CIR,01-15-2014,Housing,Closed Out,06-19-2014,true
07940447,2014,447 GLEN ARVIN AVE,01-15-2014,Housing,Closed Out,05-05-2014,true
19380113-2,2014,113 TWELFTH ST,01-16-2014,Housing,Closed Out,05-08-2014,true
14211346-3,2014,1346 OHIO TER,01-16-2014,Housing,Closed Out,06-27-2014,true
19171195,2014,1195 TRENT BLVD,01-17-2014,Housing,Closed Out,03-05-2014,true
19171090,2014,1090 TRENT BLVD,01-17-2014,Housing,Closed Out,04-21-2014,true
19171325#126,2014,1325 TRENT BLVD #126,01-17-2014,Housing,Closed Out,05-07-2014,true
14380270CONDEM,2014,270 OSAGE CT,01-17-2014,Housing,Closed Out,03-28-2014,true
20650325-6,2014,325 WILSON ST,01-17-2014,Housing,Closed Out,04-25-2014,true
11661500-6,2014,1500 N LIMESTONE,01-17-2014,Housing,Closed Out,03-04-2014,true
16350107,2014,107 ROSEMARY AVE,01-17-2014,Housing,Closed Out,03-04-2014,true
10111700-7,2014,1700 JENNIFER RD,01-17-2014,Housing,Closed Out,04-07-2014,true
16350111,2014,111 ROSEMARY AVE,01-17-2014,Housing,Closed Out,04-07-2014,true
03910455-11,2014,455 CHESTNUT ST,01-17-2014,Housing,Closed Out,01-28-2014,true
12040677-2,2014,677 E LOUDON AVE,01-17-2014,Housing,Closed Out,03-27-2014,true
04931040#80-2,2014,1040 CROSS KEYS RD #80,01-17-2014,Housing,Closed Out,05-01-2014,true
10361224-2,2014,1224 KALONE WAY,01-22-2014,Housing,Closed Out,03-05-2014,true
28932024,2014,2024 MOUNTJOY PL,01-22-2014,Housing,Closed Out,03-05-2014,true
13080511#E-2,2014,511 MICHIGAN ST #E AKA 536 GEORGETOWN ST,01-22-2014,Housing,Closed Out,05-05-2014,true
04350180#2100,2014,180 CODELL DR #2100,01-22-2014,Housing,Closed Out,04-25-2014,true
19171325#127,2014,1325 TRENT BLVD #127,01-23-2014,Housing,Closed Out,05-07-2014,true
32200147S3,2014,147 OLD PARK AVE,01-23-2014,Housing,Closed Out,01-30-2014,true
14300312EMER#1,2014,312 OLDHAM AVE #1,01-23-2014,Housing,Closed Out,02-11-2014,true
00940816#A,2014,816 AURORA AVE #A,01-23-2014,Housing,Closed Out,03-12-2014,true
19171183EMER#B,2014,1183 TRENT BLVD #B,01-24-2014,Housing,Closed Out,02-14-2014,true
16910106-112,2014,106-112 W SEVENTH ST AKA 108 W SEVENTH ST,01-24-2014,Housing,Closed Out,03-12-2014,true
18790337-4,2014,337 E THIRD ST #337 1/2,01-27-2014,Housing,Closed Out,06-27-2014,true
14171130-4,2014,1130 OAKWOOD DR,01-27-2014,Housing,Closed Out,05-05-2014,true
11601749#9,2014,1749 LIBERTY RD #9,01-27-2014,Housing,Closed Out,03-04-2014,true
31170708,2014,708 GOLFVIEW DR,01-27-2014,Housing,Closed Out,05-01-2014,true
03910456-5,2014,456 CHESTNUT ST,01-28-2014,Housing,Closed Out,03-12-2014,true
00160111,2014,111 ALABAMA AVE,01-28-2014,Housing,Closed Out,04-30-2014,true
08181305-2,2014,1305 GRAFTON DR,01-29-2014,Housing,Closed Out,05-06-2014,true
18751553S,2014,1553 THAMES DR,01-29-2014,Housing,Closed Out,04-14-2014,true
20910124-3,2014,124 WITHERS AVE,01-29-2014,Housing,Closed Out,05-05-2014,true
14200546-6,2014,546 OHIO ST,01-29-2014,Housing,Closed Out,05-27-2014,true
05090520,2014,520 DABNEY DR,01-29-2014,Housing,Closed Out,06-10-2014,true
11601749#9-2,2014,1749 LIBERTY RD #9,01-29-2014,Housing,Closed Out,07-01-2014,true
05111436S,2014,1436 DALE DR,01-30-2014,Housing,Closed Out,07-02-2014,true
19440662,2014,662 N UPPER ST,01-30-2014,Housing,Closed Out,06-27-2014,true
14380229-4,2014,229 OSAGE CT,01-30-2014,Housing,Closed Out,06-10-2014,true
10361108S,2014,1108 KALONE WAY,01-31-2014,Housing,Closed Out,07-22-2014,true
02500546-2,2014,546 N BROADWAY,01-31-2014,Housing,Closed Out,03-04-2014,true
03460267-8,2014,267 CASTLEWOOD DR,01-31-2014,Housing,Closed Out,05-08-2014,true
12951203,2014,1203 MENIFEE AVE,01-31-2014,Housing,Closed Out,05-08-2014,true
03641123CONDEM#60,2014,1123 CENTRE PKWY #60,02-03-2014,Housing,Closed Out,04-09-2014,true
19171083-2,2014,1083 TRENT BLVD,02-03-2014,Housing,Closed Out,04-17-2014,true
10100343-2,2014,343 JEFFERSON ST,02-03-2014,Housing,Closed Out,02-24-2014,true
17310551#37-2,2014,551 W SIXTH ST #37,02-03-2014,Housing,Closed Out,06-10-2014,true
08923324-3,2014,3324 HARTSTON DR,02-04-2014,Housing,Closed Out,05-06-2014,true
32210815EMER,2014,815 NEWTOWN PIKE,02-04-2014,Housing,Closed Out,03-12-2014,true
03073745CONDEM#2,2014,3745 CAMELOT DR #2,02-05-2014,Housing,Closed Out,04-23-2014,true
03073745CONDEM#4,2014,3745 CAMELOT DR #4,02-05-2014,Housing,Closed Out,04-23-2014,true
12040253-5,2014,253 E LOUDON AVE,02-05-2014,Housing,Closed Out,03-04-2014,true
17852081-2,2014,2081 ST TERESA DR,02-05-2014,Housing,Closed Out,03-26-2014,true
19890454-2,2014,454 N MARTIN LUTHER KING BLVD,02-05-2014,Housing,Closed Out,03-26-2014,true
11601749#102,2014,1749 LIBERTY RD #102,02-05-2014,Housing,Closed Out,07-24-2014,true
34061025-2,2014,1025 MAJESTIC DR,02-05-2014,Housing,Closed Out,05-01-2014,true
08923324S3,2014,3324 HARTSTON DR,02-06-2014,Housing,Closed Out,08-06-2014,true
11660647-2,2014,647 N LIMESTONE,02-06-2014,Housing,Closed Out,04-01-2014,true
19531531,2014,1531 VAN BUREN DR,02-06-2014,Housing,Closed Out,07-08-2014,true
34492829-3,2014,2829 RYAN CIR,02-06-2014,Housing,Closed Out,03-27-2014,true
05220209S2,2014,209 DANTZLER CT,02-07-2014,Housing,Closed Out,05-13-2014,true
02661425#A,2014,1425 BRYAN AVE #A,02-07-2014,Housing,Closed Out,03-26-2014,true
18912409-3,2014,2409 TIMBERHILL CT,02-07-2014,Housing,Closed Out,03-31-2014,true
05250919-2,2014,919 DARLEY DR,02-07-2014,Housing,Closed Out,05-05-2014,true
03042045#45,2014,2045 CAMBRIDGE DR #45,02-10-2014,Housing,Closed Out,05-07-2014,true
10600445-7,2014,445 KENTON ST,02-11-2014,Housing,Closed Out,03-26-2014,true
21012496,2014,2496 WOODHILL DR,02-11-2014,Housing,Closed Out,06-10-2014,true
03042045BLDGD,2014,2045 CAMBRIDGE DR BLDG D,02-11-2014,Housing,Closed Out,03-28-2014,true
05580241EMER,2014,241 DEVONIA AVE,02-12-2014,Housing,Closed Out,04-25-2014,true
17762021,2014,2021 ST CHRISTOPHER DR,02-12-2014,Housing,Closed Out,05-27-2014,true
18912409#3-4,2014,2409 TIMBERHILL CT #3,02-12-2014,Housing,Closed Out,06-11-2014,true
02171332,2014,1332 BORDEAUX DR,02-12-2014,Housing,Closed Out,02-26-2014,true
11332116-2148#103,2014,2116-2148 LARKSPUR DR #103,02-12-2014,Housing,Closed Out,05-06-2014,true
18130115-3,2014,115 SUBURBAN CT,02-14-2014,Housing,Closed Out,08-14-2014,true
09391728BLDGC,2014,1728 HILL RISE DR BLDG C,02-14-2014,Housing,Closed Out,07-02-2014,true
01781352,2014,1352 BEULAH PARK,02-18-2014,Housing,Closed Out,03-26-2014,true
03343399,2014,3399 CARRIAGE LN,02-18-2014,Housing,Closed Out,06-02-2014,true
14482692,2014,2692 PADDOCK CT,02-18-2014,Housing,Closed Out,07-21-2014,true
19171207S,2014,1207 TRENT BLVD,02-18-2014,Housing,Closed Out,08-11-2014,true
18130115EMER,2014,115 SUBURBAN CT,02-18-2014,Housing,Closed Out,02-25-2014,true
14200430-4,2014,430 OHIO ST,02-18-2014,Housing,Closed Out,05-27-2014,true
11660405-4,2014,405 N LIMESTONE,02-18-2014,Housing,Closed Out,05-27-2014,true
35832781,2014,2781 STONEY PARK LN,02-18-2014,Housing,Closed Out,04-02-2014,true
05022035#7-2,2014,2035 CUMMINS CT #7,02-18-2014,Housing,Closed Out,04-03-2014,true
00231251,2014,1251 ALEXANDRIA DR,02-18-2014,Housing,Closed Out,05-30-2014,true
15923652,2014,3652 REMORA DR,02-19-2014,Housing,Closed Out,03-28-2014,true
16113550,2014,3550 RIVER PARK DR,02-19-2014,Housing,Closed Out,05-07-2014,true
15940494S,2014,494 RETRAC RD,02-19-2014,Housing,Closed Out,04-30-2014,true
15940498S,2014,498 RETRAC RD,02-19-2014,Housing,Closed Out,05-14-2014,true
16113550S,2014,3550 RIVER PARK DR,02-19-2014,Housing,Closed Out,05-21-2014,true
05490569#3-2,2014,569 DELZAN PL #3,02-19-2014,Housing,Closed Out,05-05-2014,true
04913736,2014,3736 CROSBY DR,02-20-2014,Housing,Closed Out,03-28-2014,true
18253593S,2014,3593 SUNDART DR,02-20-2014,Housing,Closed Out,03-11-2014,true
18253585S,2014,3585 SUNDART DR,02-20-2014,Housing,Closed Out,03-11-2014,true
18253589S,2014,3589 SUNDART DR,02-20-2014,Housing,Closed Out,03-11-2014,true
01781296S,2014,1296 BEULAH PARK,02-20-2014,Housing,Closed Out,03-25-2014,true
18253665S,2014,3665 SUNDART DR,02-20-2014,Housing,Closed Out,03-25-2014,true
16113578S,2014,3578 RIVER PARK DR,02-20-2014,Housing,Closed Out,03-31-2014,true
18253573S2,2014,3573 SUNDART DR,02-20-2014,Housing,Closed Out,04-09-2014,true
18253657S,2014,3657 SUNDART DR,02-20-2014,Housing,Closed Out,04-09-2014,true
18253577S,2014,3577 SUNDART DR,02-20-2014,Housing,Closed Out,04-09-2014,true
18253581S,2014,3581 SUNDART DR,02-20-2014,Housing,Closed Out,04-09-2014,true
16113582S,2014,3582 RIVER PARK DR,02-20-2014,Housing,Closed Out,04-22-2014,true
16113554S,2014,3554 RIVER PARK DR,02-20-2014,Housing,Closed Out,05-21-2014,true
01781380S,2014,1380 BEULAH PARK,02-20-2014,Housing,Closed Out,06-04-2014,true
18253709S,2014,3709 SUNDART DR,02-20-2014,Housing,Closed Out,06-04-2014,true
01781292S,2014,1292 BEULAH PARK,02-20-2014,Housing,Closed Out,06-04-2014,true
18253705S,2014,3705 SUNDART DR,02-20-2014,Housing,Closed Out,06-18-2014,true
19634108-2,2014,4108 VICTORIA WAY,02-20-2014,Housing,Closed Out,04-02-2014,true
02500820-2,2014,820 N BROADWAY,02-20-2014,Housing,Closed Out,03-28-2014,true
12960051#2,2014,51 MENTELLE PARK #2,02-20-2014,Housing,Closed Out,06-17-2014,true
05230333,2014,333 DARBY CREEK RD,02-20-2014,Housing,Closed Out,07-21-2014,true
00231613#6-2,2014,1613 ALEXANDRIA DR #6,02-20-2014,Housing,Closed Out,05-23-2014,true
21704468S,2014,4468 HARTLAND PKWY,02-21-2014,Housing,Closed Out,03-31-2014,true
21704488S,2014,4488 HARTLAND PKWY,02-21-2014,Housing,Closed Out,03-31-2014,true
10230111S,2014,111 JOHNSTON BLVD,02-21-2014,Housing,Closed Out,04-03-2014,true
21704476S,2014,4476 HARTLAND PKWY,02-21-2014,Housing,Closed Out,04-17-2014,true
21704472S,2014,4472 HARTLAND PKWY,02-21-2014,Housing,Closed Out,06-04-2014,true
21704480S,2014,4480 HARTLAND PKWY,02-21-2014,Housing,Closed Out,06-04-2014,true
21704484S,2014,4484 HARTLAND PKWY,02-21-2014,Housing,Closed Out,06-04-2014,true
21704492S,2014,4492 HARTLAND PKWY,02-21-2014,Housing,Closed Out,06-04-2014,true
19171550S,2014,1550 TRENT BLVD,02-21-2014,Housing,Closed Out,06-04-2014,true
17470496CONDEM,2014,496 SOUTHLAND DR,02-21-2014,Housing,Closed Out,08-13-2014,true
16900169-4,2014,169 E SEVENTH ST,02-21-2014,Housing,Closed Out,05-27-2014,true
32178821,2014,8821 OLD RICHMOND RD,02-24-2014,Housing,Closed Out,06-04-2014,true
11530401,2014,401 LENNEY CT,02-24-2014,Housing,Closed Out,04-02-2014,true
03073717-2,2014,3717 CAMELOT DR,02-24-2014,Housing,Closed Out,05-08-2014,true
19430218CONDEM,2014,218 UNIVERSITY AVE,02-24-2014,Housing,Closed Out,07-24-2014,true
19440633-3,2014,633 N UPPER ST,02-24-2014,Housing,Closed Out,06-10-2014,true
18323528-6,2014,3528 SUTHERLAND DR,02-25-2014,Housing,Closed Out,04-23-2014,true
12800237,2014,237 MCDOWELL RD,02-25-2014,Housing,Closed Out,07-09-2014,true
43382375DEMO2,2014,2375 WILDERNESS PL,02-25-2014,Housing,Closed Out,05-08-2014,true
02661303-3,2014,1303 BRYAN AVE,02-25-2014,Housing,Closed Out,06-10-2014,true
11660638-12,2014,638 N LIMESTONE,02-25-2014,Housing,Closed Out,07-24-2014,true
18850106EMER,2014,106 THOMPSON RD,02-26-2014,Housing,Closed Out,03-05-2014,true
07852123,2014,2123 GEORGIAN WAY (AKA 2125 GEORGIAN WAY),02-26-2014,Housing,Closed Out,04-10-2014,true
24071164,2014,1164 NARROW LN,02-27-2014,Housing,Closed Out,06-26-2014,true
40463173,2014,3173 SCOTTISH TRCE,02-27-2014,Housing,Closed Out,05-27-2014,true
05151884#B,2014,1884 DALTON CT #B,02-28-2014,Housing,Closed Out,08-18-2014,true
20850613,2014,613 WINTER PARK CT,03-03-2014,Housing,Closed Out,04-21-2014,true
12070653CONDEM,2014,653 LOWER ST,03-03-2014,Housing,Closed Out,04-10-2014,true
20542133CONDEM2,2014,2133 WILL FANT DR,03-04-2014,Housing,Closed Out,06-10-2014,true
19440637,2014,637 N UPPER ST,03-04-2014,Housing,Closed Out,06-10-2014,true
12040253CONDEM,2014,253 E LOUDON AVE,03-04-2014,Housing,Closed Out,06-11-2014,true
21280156CONDEM2,2014,156 YORK ST,03-04-2014,Housing,Closed Out,08-04-2014,true
19661242#4,2014,1242 VILLAGE DR #4,03-04-2014,Housing,Closed Out,04-08-2014,true
07852103EMER#B,2014,2103 GEORGIAN WAY #B,03-05-2014,Housing,Closed Out,03-25-2014,true
06400641-2,2014,641 ELK LAKE DR,03-06-2014,Housing,Closed Out,05-14-2014,true
18593565-5,2014,3565 TATES CREEK RD - LAUNDRY ROOM,03-06-2014,Housing,Closed Out,05-09-2014,true
03910463-3,2014,463 CHESTNUT ST,03-06-2014,Housing,Closed Out,05-27-2014,true
11660461CONDEM,2014,461 N LIMESTONE,03-06-2014,Housing,Closed Out,06-10-2014,true
06470546-4,2014,546 ELM TREE LN EXTERIOR,03-06-2014,Housing,Closed Out,08-04-2014,true
19661261#9-3,2014,1261 VILLAGE DR #9,03-06-2014,Housing,Closed Out,06-13-2014,true
18220869S,2014,869 SUMMERVILLE DR,03-07-2014,Housing,Closed Out,03-20-2014,true
19430123-3,2014,123 UNIVERSITY AVE,03-07-2014,Housing,Closed Out,04-25-2014,true
12670273-3,2014,273 E MAXWELL ST,03-07-2014,Housing,Closed Out,05-30-2014,true
13400151-2,2014,151 MONTMULLIN ST,03-07-2014,Housing,Closed Out,05-30-2014,true
17210314,2014,314 SIERRA DR,03-07-2014,Housing,Closed Out,06-11-2014,true
06080234-2,2014,234 EASTERN AVE,03-10-2014,Housing,Closed Out,06-19-2014,true
26323574S2,2014,3574 MICHAELS CV,03-11-2014,Housing,Closed Out,06-18-2014,true
21704708S,2014,4708 HARTLAND PKWY,03-11-2014,Housing,Closed Out,04-10-2014,true
21704724S,2014,4724 HARTLAND PKWY,03-11-2014,Housing,Closed Out,04-10-2014,true
21704664S,2014,4664 HARTLAND PKWY,03-11-2014,Housing,Closed Out,04-10-2014,true
21704668S,2014,4668 HARTLAND PKWY,03-11-2014,Housing,Closed Out,04-10-2014,true
21704692S,2014,4692 HARTLAND PKWY,03-11-2014,Housing,Closed Out,04-11-2014,true
21704696S,2014,4696 HARTLAND PKWY,03-11-2014,Housing,Closed Out,04-11-2014,true
21704700S,2014,4700 HARTLAND PKWY,03-11-2014,Housing,Closed Out,04-11-2014,true
21704712S,2014,4712 HARTLAND PKWY,03-11-2014,Housing,Closed Out,04-11-2014,true
15823741S,2014,3741 RED RIVER DR,03-11-2014,Housing,Closed Out,04-11-2014,true
21704776S,2014,4776 HARTLAND PKWY,03-11-2014,Housing,Closed Out,05-05-2014,true
21704770S,2014,4770 HARTLAND PKWY,03-11-2014,Housing,Closed Out,05-05-2014,true
21704750S,2014,4750 HARTLAND PKWY,03-11-2014,Housing,Closed Out,05-05-2014,true
21704740S2,2014,4740 HARTLAND PKWY,03-11-2014,Housing,Closed Out,05-05-2014,true
21704684S,2014,4684 HARTLAND PKWY,03-11-2014,Housing,Closed Out,05-05-2014,true
21704680S,2014,4680 HARTLAND PKWY,03-11-2014,Housing,Closed Out,05-05-2014,true
21704676S,2014,4676 HARTLAND PKWY,03-11-2014,Housing,Closed Out,05-05-2014,true
10523812-3836S,2014,3812-3836 KENESAW DR,03-11-2014,Housing,Closed Out,06-04-2014,true
15823743S,2014,3743 RED RIVER DR,03-11-2014,Housing,Closed Out,06-04-2014,true
19171509S,2014,1509 TRENT BLVD,03-11-2014,Housing,Closed Out,06-12-2014,true
19171500S,2014,1500 TRENT BLVD,03-11-2014,Housing,Closed Out,06-12-2014,true
21704728S,2014,4728 HARTLAND PKWY,03-11-2014,Housing,Closed Out,06-12-2014,true
21704660S,2014,4660 HARTLAND PKWY,03-11-2014,Housing,Closed Out,06-12-2014,true
13971616-1610S,2014,1616-1610 NICHOLASVILLE RD,03-11-2014,Housing,Closed Out,07-18-2014,true
13971600S,2014,1600 NICHOLASVILLE RD,03-11-2014,Housing,Closed Out,07-18-2014,true
21704688S,2014,4688 HARTLAND PKWY,03-11-2014,Housing,Closed Out,07-24-2014,true
10523851S,2014,3851 KENESAW DR,03-11-2014,Housing,Closed Out,07-24-2014,true
15520804S,2014,804 PROVIDENCE RD,03-11-2014,Housing,Closed Out,08-08-2014,true
15520800S,2014,800 PROVIDENCE RD,03-11-2014,Housing,Closed Out,08-08-2014,true
04650801S,2014,801 COOPER DR,03-11-2014,Housing,Closed Out,08-08-2014,true
09730341,2014,341 HUMMINGBIRD LN,03-11-2014,Housing,Closed Out,04-21-2014,true
09730345,2014,345 HUMMINGBIRD LN,03-11-2014,Housing,Closed Out,04-21-2014,true
09730334,2014,334 HUMMINGBIRD LN,03-11-2014,Housing,Closed Out,07-21-2014,true
09730349,2014,349 HUMMINGBIRD LN,03-11-2014,Housing,Closed Out,07-21-2014,true
03910369-5,2014,369 CHESTNUT ST,03-11-2014,Housing,Closed Out,06-10-2014,true
05151884#BEMER,2014,1884 DALTON CT #B EMERGENCY,03-11-2014,Housing,Closed Out,03-26-2014,true
02500450,2014,450 N BROADWAY,03-11-2014,Housing,Closed Out,07-15-2014,true
05151884EXT-2,2014,1884 DALTON CT EXTERIOR,03-11-2014,Housing,Closed Out,08-18-2014,true
02500555-7,2014,555 N BROADWAY,03-11-2014,Housing,Closed Out,04-17-2014,true
08560324#A-2,2014,324 GUNN ST #A AKA 402 GUNN ST,03-11-2014,Housing,Closed Out,06-27-2014,true
23220841S2,2014,841 EDGEWOOD DR,03-12-2014,Housing,Closed Out,03-25-2014,true
16113628S,2014,3628 RIVER PARK DR,03-12-2014,Housing,Closed Out,04-11-2014,true
18751500S,2014,1500 THAMES DR,03-12-2014,Housing,Closed Out,06-18-2014,true
20951133-2,2014,1133 WOOD RIDGE RD,03-12-2014,Housing,Closed Out,06-05-2014,true
05580179S,2014,179 DEVONIA AVE,03-13-2014,Housing,Closed Out,06-18-2014,true
08990449-455S,2014,449-455 HAWKINS AVE,03-13-2014,Housing,Closed Out,07-14-2014,true
13971517S3,2014,1517 NICHOLASVILLE RD,03-13-2014,Housing,Closed Out,03-13-2014,true
02031554,2014,1554 BLUEBIRD LN,03-13-2014,Housing,Closed Out,04-23-2014,true
09191571,2014,1571 HERON LN,03-13-2014,Housing,Closed Out,04-23-2014,true
13290251,2014,251 MOCKINGBIRD LN,03-13-2014,Housing,Closed Out,05-30-2014,true
02031574,2014,1574 BLUEBIRD LN,03-13-2014,Housing,Closed Out,07-23-2014,true
07140769-2,2014,769 FLORIDA ST,03-13-2014,Housing,Closed Out,03-25-2014,true
12450903-2,2014,903 MARCELLUS DR,03-13-2014,Housing,Closed Out,06-10-2014,true
07834130,2014,4130 GEORGETOWN RD,03-13-2014,Housing,Closed Out,06-10-2014,true
07834130#B01CONDEM,2014,4130 GEORGETOWN RD MH B01,03-13-2014,Housing,Closed Out,06-10-2014,true
07834130#D02CONDEM,2014,4130 GEORGETOWN RD MH D02,03-13-2014,Housing,Closed Out,06-10-2014,true
07834130#J01CONDEM,2014,4130 GEORGETOWN RD MH J01,03-13-2014,Housing,Closed Out,06-10-2014,true
